"35.1.1. коньяки, бренди",005769,"НАБОР КОНЬЯК \"ЛЕЗГИНКА\" КВ + ВОДКА \"ВИНОГРАДНАЯ\" 40% (0,6)л",шт,2400000036265,1,
"35.1.1. коньяки, бренди",005801,"НАБОР КОНЬЯК РОССИЙСКИЙ \"БАГРАТИОН\" 5лет + ВОДКА \"ВИНОГРАДНАЯ\" 40% (0,6)л",шт,2400000038658,1,
"35.1.1. коньяки, бренди",007243,"КОНЬЯК \"АРА ДЖАН\" 3 года  40% 0,5л",шт,4850001270652,1,
"35.1.1. коньяки, бренди",007260,"КОНЬЯК \"АРА ДЖАН\" 5 лет 42% 0,5л",шт,4850001270195,1,
"35.1.1. коньяки, бренди",007263,"КОНЬЯК \"ПЯТЬ ЗВЕЗД\" 5 лет 40% 0,5л",шт,4850001271840,1,
"35.1.1. коньяки, бренди",007268,"КОНЬЯК \"ЦАРИЦА ТАМАРА\" 8 лет 40% 0,5л П/УП",шт,"4850001270171 4850001272014","1 1"," "
"35.1.1. коньяки, бренди",007269,"КОНЬЯК \"ЦАРИЦА ТАМАРА\" 10 лет 40% 0,5л П/УП",шт,"4850001271567 4850001272069","1 1"," "
"35.1.1. коньяки, бренди",007271,"КОНЬЯК \"МАНЭ\" 40% 0,5л",шт,,,
"35.1.1. коньяки, бренди",007273,"КОНЬЯК \"МАНЭ\" VSOP 5 лет 42% 0,5л",шт,4850001271444,1,
"35.1.1. коньяки, бренди",007275,"КОНЬЯК \"МАНЭ\" 8 лет 40% 0,5л",шт,4850001270355,1,
"35.1.1. коньяки, бренди",007278,"КОНЬЯК \"АРМЕНУИ\" 10 лет 40% 0,5л П/УП",шт,4850001270614,1,
"35.1.1. коньяки, бренди",007283,"КОНЬЯК \"МАНЭ\" 8 лет 40% 1,75л П/УП",шт,4850001274568,1,
"35.1.1. коньяки, бренди",007312,"КОНЬЯК \"ЦАРЬ ПАП\" 20 лет  40% 3,0л П/УП",шт,4850001275275,1,
"35.1.1. коньяки, бренди",007320,"КОНЬЯК \"ШИРАЗ\" VS 3 года 40% 0,5л",шт,4850001274186,1,
"35.1.1. коньяки, бренди",007322,"КОНЬЯК \"ШИРАЗ\" VSOP 5 лет  40% 0,5л",шт,4850001274193,1,
"35.1.1. коньяки, бренди",007333,"КОНЬЯК \"ШИРАЗ\" ХО 8 лет  40% 0,5л П/УП",шт,4850001274209,1,
"35.1.1. коньяки, бренди",007341,"КОНЬЯК \"ЧАРЕНЦ\"  ХО 10 лет  40% 0,5л П/УП",шт,4850001274179,1,
"35.1.1. коньяки, бренди",007345,"КОНЬЯК \"ЧАРЕНЦ\"  ХО 10 лет  40% 0,75л П/УП",шт,4850001273899,1,
