"36.4.1.1. варенье, джемы, конфитюры, сиропы",035931,"ВАРЕНЬЕ \"ТАМАРА\" ЧЕРЕШНЯ 400г",шт,4850011110856,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",035933,"ВАРЕНЬЕ \"ТАМАРА\" БЕЛАЯ ШЕЛКОВИЦА 400г",шт,4850011110955,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",035936,"ВАРЕНЬЕ \"ТАМАРА\" ГРЕЦКИЙ ОРЕХ 400г",шт,4850011110887,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",035940,"ВАРЕНЬЕ \"ТАМАРА\" КИЗИЛ 400г",шт,4850011110931,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",035941,"ВАРЕНЬЕ \"ТАМАРА\" ЛЕПЕСТКИ РОЗ 400г",шт,4850011110924,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",035942,"ВАРЕНЬЕ \"ТАМАРА\" МАЛИНА 400г",шт,4850011110832,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",035943,"ВАРЕНЬЕ \"ТАМАРА\" ТЫКВА 400г",шт,4850011110917,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",035944,"ВАРЕНЬЕ \"ТАМАРА\" ЧЕРНАЯ ШЕЛКОВИЦА 400г",шт,4850011111297,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",035945,"ДЖЕМ \"ТАМАРА\" ЕЖЕВИКА 400г",шт,4850011110320,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",036842,"МЕД \"БЕРЕСТОВ\" ПОДСОЛНУХ 115г (пл/б)",шт,4607072773311,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",037096,"ОБЛЕПИХА \"СИБИРСКАЯ ЯГОДА\" ПРОТЕРТАЯ С САХАРОМ 900г (ведро)",шт,4607039511413,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",037549,"ЗЕМЛЯНИКА \"СИБИРСКАЯ ЯГОДА\" ПРОТЕРТАЯ С САХАРОМ 900г (ведро)",шт,4607039519938,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",037550,"ЧЕРНИКА \"СИБИРСКАЯ ЯГОДА\" ПРОТЕРТАЯ С САХАРОМ 900г (ведро)",шт,4607039519877,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",038237,"БРУСНИКА \"СИБИРСКАЯ ЯГОДА\" ПРОТЕРТАЯ С САХАРОМ 900г (ведро)",шт,4607039519891,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",039967,"ТОППИНГ \"БАРINOFF\" ДЛЯ МОРОЖЕНОГО КОФЕЙНЫЙ 1л пл.бут.",шт,4612752311523,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",040148,"МЕД \"НАТУРИН\" ГРЕЧИШНЫЙ 500г (ст/б)",шт,4605820001433,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",041207,"ПАСТА ОРЕХОВАЯ \"NUTТI\" (ШОКОЛ.-МОЛОЧНАЯ) 700г",шт,4607054730097,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",042639,"СИРОП \"ПИКАНТА\" Д/КОКТЕЛЕЙ ПИНА-КОЛАДА 250мл (ст/бут)",шт,4607036204967,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",042721,"ВАРЕНЬЕ \"БОГОРОДСКАЯ ТРАПЕЗА\" ЧЕРНИЧНОЕ 420г (ст/б)",шт,4607039091847,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",043574,"МЕД \"БЕРЕСТОВ\" ПОДСОЛНУХ 700г (пл/б)",шт,4607072773335,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",044128,"ПОВИДЛО \"САВА\" ЗЕМЛЯНИЧНОЕ 610г",шт,4607039510607,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",045226,"СИРОП \"ПИКАНТА\" АПЕЛЬСИН 300г (ст/б)",шт,4607004650642,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",046678,"ПАСТА АРАХИСОВАЯ \"MASTO\" 350г",шт,5900617012197,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",047586,"МЁД \"СКОРОДУМОВСКИЙ\" НАТУРАЛЬНЫЙ 990г (ст/б)",шт,4607030832296,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",047587,"МЁД \"СКОРОДУМОВСКИЙ\" НАТУРАЛЬНЫЙ 330г (ст/б)",шт,4607030832029,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",048529,"СИРОП \"SWEETFILL\" ВИШНЯ 0.5л (ст/б)",шт,4627100590024,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",048530,"СИРОП \"SWEETFILL\" МОХИТО 0.5л (ст/б)",шт,4627100590048,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",048531,"СИРОП \"SWEETFILL\" ТАРХУН 0.5л (ст/б)",шт,4627100590017,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",048532,"СИРОП \"SWEETFILL\" ЭКСТРА-СИТРО 0.5л (ст/б)",шт,4627100590031,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",051938,"МЕД \"БЕРЕСТОВ\" ЛИПОВЫЙ 360г (пл/б)",шт,4607072772963,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",051939,"МЕД \"БЕРЕСТОВ\" УССУРИЙСКИЙ БАЛЬЗАМ 360г (пл/б)",шт,4607072772932,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",052400,"СИРОП \"SWEETFILL\" БАРБАРИС 0.5л (ст/б)",шт,4627100590147,1,
"36.4.1.1. варенье, джемы, конфитюры, сиропы",052401,"СИРОП \"SWEETFILL\" БУРАТИНО 0.5л (ст/б)",шт,4627100590185,1,
