"37.16.1.1. штучка",018615,"КРЕВЕТКИ КОРОЛЕВСКИЕ В ПАНЦИРЕ   В/М 50/70 \"ВИЧИ\" 1000ГР.",шт,4770190054058,1,
"37.16.1.1. штучка",019186,"КРЕВЕТКА КОР. ОЧИЩ. С ХВОСТОМ 50/60 850г В/М",шт,4607153854182,1,
"37.16.1.1. штучка",019565,"КАЛЬМАР ТУШКА МОРОЖ. 850ГР. \"БУХТА ИЗОБИЛИЯ\"",шт,4607153854632,1,
"37.16.1.1. штучка",020346,"КРЕВЕТКИ \"VICI\" В/М ОЧИЩ. КОКТЕЙЛЬНЫЕ 450г",шт,4770190076487,1,
"37.16.1.1. штучка",024062,"КРЕВЕТКИ \"MARISOL\" КОРОЛЕВСКИЕ. С/М ОЧИЩ. С ХВ.  (35+) 1кг.",шт,4607035022869,1,
"37.16.1.1. штучка",024447,"СУРИМИ \"VICI\" ЛЮБО ЕСТЬ МЯСО ЗАМОРОЖЕННОЕ 200г",шт,4770190066563,1,
"37.16.1.1. штучка",024701,"КРЕВЕТКИ \"POLAR\" 60/80 800ГР.",шт,4607034936358,1,
"37.16.1.1. штучка",024704,"КАЛЬМАРЫ МОЛОДЫЕ ОЧИЩ.  500ГР. \"BONDELAMAR\"",шт,4607034936471,1,
"37.16.1.1. штучка",024706,"КОКТЕЙЛЬ МОРСКОЙ 500ГР. \"BONDELAMAR\"",шт,4607034931612,1,
"37.16.1.1. штучка",024707,"ФИЛЕ КАЛЬМАРА  1КГ. \"BONDELAMAR\"",шт,4607034932251,1,
"37.16.1.1. штучка",025727,"КРАБОВЫЕ ПАЛОЧКИ ДЛЯ РУЛЕТИКОВ 300ГР. \"ВИЧИ\"",шт,4770190061926,1,
"37.16.1.1. штучка",025791,"КРЕВЕТКИ \"BONDELAMAR\" ТИГРОВЫЕ ОЧИЩ. С ХВОСТ. В/М 31/40  1КГ.",шт,4607034935337,1,
"37.16.1.1. штучка",028032,"БУРГЕРЫ \"IGLO\" РЫБНЫЕ 4ШТ. 168г",шт,4250241203845,1,
"37.16.1.1. штучка",029831,"КРЕВЕТКИ \"SAILOR\" 70/90 1кг",шт,5701961000041,1,
"37.16.1.1. штучка",029832,"ОСЬМИНОГИ \"BONDELAMAR\" МОЛОДЫЕ ОЧИЩ. 40/60 500гр",шт,4607034936501,1,
"37.16.1.1. штучка",031888,"КАЛЬМАР \"VICI\" МЯСО В ПАНИРОВКЕ 300гр.",шт,4770190066990,1,
"37.16.1.1. штучка",031889,"ХЕК \"VICI\" ФИЛЕ В ПАНИРОВКЕ 300гр.",шт,4770190060271,1,
"37.16.1.1. штучка",032804,"КРЕВЕТКА КАМЧАТСКАЯ \"AGAMA\"  В/М № 5   800г",шт,4607153854229,1,
"37.16.1.1. штучка",032922,"ХЕК ФИЛЕ Б/КОЖИ \"РЫБНЫЕ ПРОДУКТЫ\" 6500г",шт,4612740241184,1,
"37.16.1.1. штучка",033148,"КРЕВЕТКИ \"MARISOL\" ТИГРОВЫЕ Б/Г (16/20) 1кг",шт,4607035024931,1,
"37.16.1.1. штучка",033363,"КРЕВЕТКИ \"ЛАГУНА\" 70/90 900гр.",шт,4607035022296,1,
"37.16.1.1. штучка",033455,"СТЕЙК АТЛАНТИЧЕСКОЙ ТРЕСКИ \"БУХТА ИЗОБИЛИЯ\" 400гр",шт,4607153858517,1,
"37.16.1.1. штучка",034005,"МИДИИ \"VICI\" В РАКУШКАХ В ВИН. СОУСЕ 500гр",шт,4770190072939,1,
"37.16.1.1. штучка",034006,"СОЛОМКИ РЫБНЫЕ \"VICI\"  ИЗ ФИЛЕ ХЕКА (ЛЮБО ЕСТЬ) 300гр",шт,4770190066716,1,
"37.16.1.1. штучка",034007,"КРЕВЕТКИ ОЧИЩ. \"VICI\"  250/350 (ЛЮБО ЕСТЬ) 750гр",шт,4770190076494,1,
"37.16.1.1. штучка",034609,"ПОРЦИИ РЫБНЫЕ \"VICI\" ПРИОРИТИ 320г",шт,4740056072007,1,
"37.16.1.1. штучка",035260,"КРЕВЕТКИ КОР. ОЧИЩ. С ХВ. \"MARISOL\" (55+) 1кг",шт,4607035022876,1,
"37.16.1.1. штучка",035626,"ПАЛОЧКИ КРАБОВЫЕ \"БУХТА ИЗОБИЛИЯ\" 200гр",шт,4607153852195,1,
"37.16.1.1. штучка",035631,"ПАЛОЧКИ РЫБНЫЕ \"VICI\" С СЫРОМ И ГРИБАМИ 250г",шт,4770190086981,1,
"37.16.1.1. штучка",035865,"МЕДАЛЬОНЫ ИЗ СЕМГИ 300г (бухта изобилия)",шт,4607153859767,1,
"37.16.1.1. штучка",036074,"ПАЛОЧКИ РЫБНЫЕ \"VICI\" С СЫРОМ МОЦАРЕЛЛА 250г",шт,4770190086967,1,
"37.16.1.1. штучка",036567,"ПАЛТУС \"AGAMA\" ФИЛЕ ЗАМОРОЖ. 400г",шт,4607153855554,1,
"37.16.1.1. штучка",037440,"ТРЕСКА ФИЛЕ ПО-СКАНДИНАВСКИ С/М (AGAMA) 400г",шт,4607153859705,1,
"37.16.1.1. штучка",037649,"КРЕВЕТКИ \"MARISOL\" ТИГРОВЫЕ Б/Г MS (26/30) 1кг",шт,4607035024139,1,
"37.16.1.1. штучка",037744,"КРЕВЕТКА \"БУХТА ИЗОБИЛИЯ\"  КОРОЛЕВСКАЯ 850гр.",шт,4607153854168,1,
"37.16.1.1. штучка",038026,"КРЕВЕТКИ \"POLAR\" КОРОЛЕВСКИЕ В ПАНЦ. 31/40 800ГР.",шт,4607034939601,1,
"37.16.1.1. штучка",038436,"МЯСО МИДИЙ \"BONDELAMAR\" 200/300 460гр.",шт,4607034931254,1,
